Date/Time,Open,Close,High,Low,Volume,WAP,Count
2016-02-05 19:52:50,49.8,49.79,49.8,49.79,16,49.8,4
2016-02-05 19:52:55,49.79,49.79,49.8,49.79,41,49.79,20
2016-02-05 19:53:00,49.79,49.77,49.79,49.77,127,49.78,63
2016-02-05 19:53:05,49.78,49.77,49.78,49.77,35,49.78,22
2016-02-05 19:53:10,49.78,49.77,49.78,49.77,67,49.77,26
2016-02-05 19:53:15,49.77,49.77,49.78,49.76,238,49.77,155
2016-02-05 19:53:20,49.78,49.77,49.78,49.77,40,49.77,30
2016-02-05 19:53:25,49.77,49.76,49.78,49.76,71,49.77,44
2016-02-05 19:53:30,49.77,49.73,49.77,49.73,755,49.74,367
2016-02-05 19:53:35,49.74,49.75,49.76,49.73,354,49.74,202
2016-02-05 19:53:40,49.75,49.76,49.76,49.75,187,49.76,122
2016-02-05 19:53:45,49.75,49.74,49.75,49.74,63,49.75,44
2016-02-05 19:53:50,49.74,49.74,49.75,49.74,19,49.74,16
2016-02-05 19:53:55,49.74,49.73,49.75,49.73,68,49.74,33
2016-02-05 19:54:00,49.73,49.73,49.74,49.73,70,49.73,7
2016-02-05 19:54:05,49.73,49.72,49.73,49.7,283,49.72,137
2016-02-05 19:54:10,49.72,49.72,49.73,49.7,103,49.72,51
2016-02-05 19:54:15,49.73,49.73,49.74,49.72,47,49.73,37
2016-02-05 19:54:20,49.73,49.73,49.75,49.73,239,49.74,151
2016-02-05 19:54:25,49.73,49.75,49.75,49.73,10,49.74,9
2016-02-05 19:54:30,49.74,49.73,49.74,49.73,98,49.74,51
2016-02-05 19:54:35,49.73,49.73,49.74,49.72,56,49.73,33
2016-02-05 19:54:40,49.73,49.73,49.73,49.72,54,49.73,47
2016-02-05 19:54:45,49.72,49.75,49.76,49.72,265,49.74,168
2016-02-05 19:54:50,49.75,49.74,49.75,49.74,140,49.75,22
2016-02-05 19:54:55,49.75,49.75,49.75,49.74,23,49.75,10
2016-02-05 19:55:00,49.74,49.74,49.75,49.74,30,49.75,21
2016-02-05 19:55:05,49.74,49.73,49.75,49.73,113,49.74,51
2016-02-05 19:55:10,49.73,49.73,49.74,49.73,111,49.74,69
2016-02-05 19:55:15,49.75,49.73,49.75,49.73,27,49.74,18
2016-02-05 19:55:20,49.73,49.76,49.77,49.73,276,49.75,118
2016-02-05 19:55:25,49.76,49.77,49.77,49.76,20,49.76,12
2016-02-05 19:55:30,49.77,49.77,49.77,49.76,17,49.76,16
2016-02-05 19:55:35,49.76,49.73,49.76,49.73,266,49.75,84
2016-02-05 19:55:40,49.73,49.73,49.74,49.73,28,49.73,16
2016-02-05 19:55:45,49.73,49.74,49.75,49.73,197,49.74,122
2016-02-05 19:55:50,49.75,49.77,49.77,49.74,128,49.75,96
2016-02-05 19:55:55,49.77,49.76,49.77,49.75,40,49.76,23
2016-02-05 19:56:00,49.76,49.75,49.76,49.75,44,49.76,25
2016-02-05 19:56:05,49.76,49.75,49.76,49.75,5,49.75,5
